,location,total_sqft,bath,price,bhk,encoded_loc
71,others,1612.0,3.0,46.74,3,211
72,Mysore Road,1710.0,4.0,91.31,3,151
73, Devarachikkanahalli,1250.0,2.0,44.0,3,0
74,Hulimavu,1125.0,2.0,50.0,2,94
75,Electronic City Phase II,1020.0,2.0,30.6,2,66
76,Kalena Agrahara,1200.0,2.0,50.0,2,109
77,others,1350.0,2.0,48.0,3,211
78,Hosa Road,1063.0,2.0,32.0,2,90
79,others,1425.0,2.0,75.0,3,211
80,Electronic City,1500.0,2.0,64.5,3,65
81,others,1470.0,2.0,70.0,3,211
82,Electronic City,1350.0,2.0,56.0,3,65
83,CV Raman Nagar,1550.0,3.0,65.0,3,48
84,Nagavara,400.0,1.0,14.0,1,156
85,Electronic City,770.0,1.0,36.0,2,65
86,Hulimavu,1242.0,2.0,51.0,2,94
87,Electronic City,1070.0,2.0,52.0,2,65
88,others,1340.0,2.0,55.7,2,211
89,Electronic City,1025.0,2.0,46.0,2,65
90,KR Puram,1785.0,2.0,56.8,2,103
91,Marathahalli,1200.0,2.0,52.0,2,146
92,Kanakpura Road,2250.0,4.0,110.0,4,115
93,others,1550.0,2.0,80.0,3,211
94,Marathahalli,1200.0,2.0,60.0,2,146
95,Kothanur,1186.0,2.0,58.0,2,133
96,HSR Layout,1400.0,3.0,56.0,3,78
97,Nagasandra,980.0,2.0,48.0,2,155
98,Whitefield,1225.0,2.0,47.6,2,205
99,Whitefield,1075.0,2.0,53.0,2,205
100,Kadugodi,1260.0,2.0,54.0,3,105
101,Yelahanka,1282.0,2.0,48.7,3,207
102,Kogilu,1909.0,3.0,88.0,3,129
103,others,1207.0,2.0,43.5,2,211
104,Kammasandra,1595.0,3.0,65.0,3,113
105,others,1798.0,3.0,89.0,3,211
106,Electronics City Phase 1,1475.0,3.0,78.29,3,67
107,Dasarahalli,1295.0,2.0,65.0,2,57
108,Magadi Road,3600.0,6.0,141.0,6,142
109,Electronic City,589.0,1.0,27.0,1,65
110,others,1415.0,3.0,78.0,3,211
111,Sarjapur  Road,1787.0,3.0,98.29,3,177
112,others,2000.0,4.0,75.5,4,211
113,Sarjapur  Road,984.0,2.0,44.28,2,177
114,Devanahalli,2390.0,2.0,74.82,3,58
115,Budigere,1153.0,2.0,56.4,2,47
116,others,1148.0,2.0,60.0,2,211
117,others,1110.0,2.0,55.0,2,211
118,Electronic City,1100.0,2.0,42.0,2,65
119,others,1500.0,2.0,65.0,3,211
120,others,1080.0,2.0,39.0,2,211
121,Ramamurthy Nagar,3500.0,5.0,150.0,5,172
122,others,1644.0,3.0,84.0,3,211
123,Electronic City,910.0,2.0,40.0,2,65
124,Kothanur,1577.0,3.0,70.0,3,133
125,others,1060.0,2.0,55.0,2,211
126,others,1280.0,2.0,69.0,2,211
127,Sarjapur  Road,1025.0,2.0,36.0,2,177
128,Vijayanagar,1500.0,3.0,75.5,3,201
129,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2,169
130,Budigere,1162.0,2.0,59.9,2,47
131,Sarjapur  Road,1035.0,2.0,49.2,2,177
132,Attibele,1600.0,4.0,52.8,4,19
133,others,1464.0,3.0,46.0,3,211
134,Hennur Road,1866.0,2.0,61.58,3,85
135,others,700.0,1.0,26.0,2,211
136,Sarjapur,913.0,2.0,32.0,2,176
137,Kengeri Satellite Town,883.0,2.0,45.0,2,124
138,Kogilu,1664.0,2.0,73.95,3,129
139,Kadugodi,1762.0,3.0,91.45,3,105
140,Jigani,1252.0,3.0,55.0,3,101
141,Gollarapalya Hosahalli,861.0,2.0,34.5,2,71
142,Electronics City Phase 1,1490.0,3.0,78.8,3,67
143,Bisuvanahalli,1075.0,2.0,46.0,3,42
144,Kalena Agrahara,1200.0,2.0,40.0,2,109
145,Kaggadasapura,1280.0,2.0,56.0,3,106
146,others,1084.0,2.0,50.0,2,211
147,Kanakpura Road,1017.0,2.0,51.25,2,115
148,Haralur Road,1027.0,2.0,44.0,2,79
149,Electronic City Phase II,1069.0,2.0,45.0,2,66
150,9th Phase JP Nagar,1005.0,2.0,50.0,2,7
151,Jakkur,1417.0,2.0,75.0,2,98
152,others,950.0,2.0,47.0,2,211
153,Singasandra,1010.0,2.0,29.5,2,183
154,Kalena Agrahara,1425.0,2.0,70.0,3,109
155,AECS Layout,1100.0,2.0,45.0,2,8
156,Kanakpura Road,525.0,1.0,26.0,1,115
157,Begur,1664.0,4.0,65.0,4,35
158,Yelahanka,1350.0,2.0,55.55,2,207
159,Kanakpura Road,1550.0,3.0,67.0,3,115
160,Malleshpalya,1140.0,2.0,46.5,2,145
161,others,850.0,2.0,27.0,2,211
162,Munnekollal,1170.0,2.0,52.0,2,149
163,others,1113.0,2.0,51.0,2,211
164,Haralur Road,1464.0,3.0,56.0,3,79
165,others,1200.0,2.0,55.0,2,211
166,Kaval Byrasandra,1200.0,2.0,52.0,2,121
167,Kaggalipura,1150.0,2.0,55.0,3,107
168,Whitefield,1173.0,2.0,58.0,2,205
169,Uttarahalli,1020.0,2.0,45.0,2,197
170,Somasundara Palya,1600.0,3.0,64.0,3,184
171,others,1230.0,2.0,48.0,2,211
172, Devarachikkanahalli,1250.0,2.0,40.0,2,0
173,Kanakpura Road,525.0,2.0,21.53,1,115
174,Basaveshwara Nagar,1200.0,2.0,65.0,2,33
175,Bommasandra,1260.0,3.0,49.36,3,44
176,Ardendale,1100.0,2.0,43.25,2,17
177,Harlur,1508.0,2.0,77.0,2,80
178,others,1592.0,3.0,75.0,3,211
179,Akshaya Nagar,1388.0,2.0,57.0,2,10
180,Electronic City Phase II,630.0,1.0,28.35,1,66
181,others,950.0,2.0,50.0,2,211
182,Magadi Road,1116.0,2.0,50.0,2,142
183,Bannerghatta Road,500.0,1.0,18.5,1,32
184,Hennur,1075.0,2.0,52.0,2,84
185,Bellandur,1205.0,2.0,66.0,2,37
186,KR Puram,930.0,2.0,39.0,2,103
187,Balagere,1380.0,2.0,60.0,2,23
188,Kodigehaali,1166.0,2.0,55.0,2,127
189,Begur Road,1200.0,2.0,46.8,2,36
190,Electronic City,1800.0,3.0,95.0,3,65
191,Jalahalli,1400.0,3.0,77.0,3,99
192,Anekal,1200.0,1.0,36.0,2,15
193,Begur Road,1160.0,2.0,44.0,2,36
194,Kanakpura Road,950.0,2.0,40.0,2,115
195,others,1629.0,3.0,79.0,3,211
196,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2,169
197,Sompura,825.0,2.0,33.0,2,185
198,Electronics City Phase 1,1113.27,2.0,53.0,2,67
199,others,1460.0,2.0,58.0,2,211
200,Doddathoguru,1050.0,2.0,32.0,2,62
201,Dodda Nekkundi,1260.0,2.0,55.0,2,59
202,Chandapura,1208.0,3.0,45.0,3,49
203,Battarahalli,1200.0,2.0,65.0,2,34
204,others,1185.0,2.0,38.0,2,211
205,Kengeri,750.0,2.0,38.0,2,123
206,Kanakpura Road,1550.0,3.0,64.5,3,115
207,others,1760.0,3.0,88.0,3,211
208,Billekahalli,1125.0,2.0,62.0,2,40
209,Anandapura,1000.0,2.0,55.0,2,13
210,Bommasandra Industrial Area,1090.0,2.0,31.48,2,45
211,TC Palaya,1200.0,2.0,60.0,2,189
212,Budigere,1991.0,4.0,103.0,3,47
213,Balagere,1590.0,3.0,79.0,3,23
214,CV Raman Nagar,1120.0,2.0,55.0,2,48
215,others,1069.0,2.0,55.0,2,211
216,Yelenahalli,1240.0,2.0,47.12,2,209
217,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2,169
218,others,1450.0,3.0,55.0,3,211
219,others,1630.0,3.0,68.29,3,211
220,Sarjapur  Road,1670.0,2.0,57.0,3,177
221,Vittasandra,1404.0,2.0,71.0,2,204
222,Hoodi,1715.0,2.0,95.0,3,86
223,Electronic City,630.0,1.0,34.65,1,65
224,Hulimavu,1650.0,3.0,78.0,3,94
225,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2,169
226,Sarjapur  Road,1346.0,2.0,74.03,2,177
227,Hormavu,1150.0,2.0,55.0,2,89
228,Marathahalli,950.0,2.0,46.96,2,146
229,Harlur,2450.0,3.0,120.0,3,80
230,Electronic City Phase II,1220.0,2.0,35.23,3,66
231,others,850.0,2.0,30.0,2,211
232,Chikkalasandra,1100.0,2.0,50.0,2,53
233,Akshaya Nagar,1070.0,2.0,54.0,2,10
234,Amruthahalli,900.0,2.0,40.0,2,12
235,Whitefield,1130.0,2.0,42.16,2,205
236,others,1200.0,2.0,62.0,2,211
237,others,4800.0,4.0,235.0,4,211
238,Subramanyapura,929.0,2.0,50.17,2,187
239,others,1464.0,3.0,56.0,3,211
240,others,2000.0,4.0,99.0,4,211
241,Chikkalasandra,1208.0,2.0,49.0,2,53
242,Hebbal Kempapura,1130.0,2.0,60.0,2,82
243,5th Phase JP Nagar,1150.0,3.0,52.5,2,3
244,others,1000.0,2.0,53.0,2,211
245,Yelahanka,1035.0,2.0,45.0,2,207
246,Kereguddadahalli,950.0,2.0,32.0,2,125
247,Bisuvanahalli,1075.0,2.0,36.0,3,42
248,Whitefield,1040.0,2.0,48.5,2,205
249,others,1300.0,3.0,58.0,3,211
250,Hoodi,1545.0,3.0,68.75,3,86
251,Vidyaranyapura,1062.0,2.0,38.0,2,200
252,others,1115.0,2.0,40.0,2,211
253,JP Nagar,1000.0,2.0,35.0,2,97
254,Kambipura,883.0,2.0,45.0,2,111
255,Vittasandra,1246.0,2.0,67.0,2,204
256,others,1600.0,4.0,80.0,4,211
257,Haralur Road,2805.0,5.0,154.0,4,79
258,Begur Road,1584.0,3.0,65.0,3,36
259,Hosur Road,1175.0,2.0,48.0,3,93
260,KR Puram,1155.0,2.0,42.74,2,103
261,Thanisandra,3000.0,4.0,120.0,4,191
262,Ramagondanahalli,1251.0,2.0,47.0,2,171
263,others,1028.0,2.0,45.5,2,211
264,Arekere,1222.0,2.0,45.0,2,18
265,others,1385.0,2.0,48.48,3,211
266,HSR Layout,1372.0,2.0,68.0,2,78
267,Magadi Road,1282.0,2.0,49.0,3,142
268,Kanakpura Road,1135.0,2.0,39.73,2,115
269,Whitefield,1500.0,3.0,61.95,3,205
270,Uttarahalli,1286.0,2.0,63.0,2,197
271,Kammanahalli,2845.0,5.0,140.0,5,112
272,others,1600.0,2.0,50.0,3,211
273,Hennur Road,1915.0,2.0,63.77,2,85
274,Munnekollal,1102.0,2.0,53.67,2,149
275,Yelahanka,1350.0,2.0,54.0,2,207
276,Banashankari,1200.0,2.0,42.0,3,24
277,others,1800.0,1.0,80.0,2,211
278,Chikkabanavar,950.0,2.0,40.0,2,52
279,Kanakpura Road,525.0,1.0,27.25,1,115
280,Attibele,656.0,2.0,25.0,2,19
281,others,1080.0,2.0,50.0,2,211
282,others,1600.0,3.0,86.0,3,211
283,others,1160.0,2.0,55.0,2,211
284,Vittasandra,1404.0,2.0,69.3,2,204
285,Banashankari Stage III,1305.0,2.0,58.7,3,26
286,others,1200.0,2.0,65.0,2,211
287,Harlur,1460.0,3.0,73.0,3,80
288,Gottigere,967.0,2.0,45.0,2,72
289,Mysore Road,1020.0,2.0,48.95,2,151
290,Jigani,1020.0,2.0,40.0,2,101
291,others,1180.0,2.0,42.0,2,211
292,Nehru Nagar,961.0,2.0,38.0,2,159
293,Kanakapura,1419.0,3.0,75.0,3,114
294,others,416.0,1.0,18.5,1,211
295,HSR Layout,1430.0,2.0,65.0,3,78
296,others,1260.0,2.0,45.0,2,211
297,others,1630.0,3.0,85.0,3,211
298,Sarjapur  Road,1249.0,3.0,44.71,3,177
299,Raja Rajeshwari Nagar,1133.0,2.0,49.07,2,169
300,Bisuvanahalli,1075.0,2.0,37.0,3,42
301,Vidyaranyapura,1200.0,2.0,55.0,2,200
302,Thanisandra,1075.0,2.0,45.8,2,191
303,Kaggadasapura,1140.0,2.0,40.0,2,106
304,Raja Rajeshwari Nagar,1090.0,2.0,42.0,2,169
305,R.T. Nagar,1500.0,4.0,70.0,4,167
306,Kanakapura,711.0,1.0,36.0,1,114
307,others,1400.0,3.0,60.0,3,211
308,Kundalahalli,1030.0,2.0,49.0,2,137
309,others,1375.0,3.0,70.0,3,211
310,Hegde Nagar,1050.0,1.0,56.0,2,83
311,Bellandur,1000.0,2.0,50.0,2,37
312,others,469.0,1.0,25.0,1,211
313,Kambipura,883.0,2.0,29.0,2,111
314,GM Palaya,1820.0,2.0,86.0,3,69
315,Singasandra,1440.0,2.0,65.0,3,183
316,others,3600.0,4.0,160.0,6,211
317,Mahadevpura,1225.0,2.0,48.0,2,143
318,Jalahalli East,750.0,1.0,40.0,1,100
319,Haralur Road,1194.0,2.0,47.0,2,79
320,Hennur Road,1500.0,2.0,62.0,3,85
321,others,1160.0,2.0,52.2,2,211
322,Sarjapur,1128.0,2.0,60.0,2,176
323,others,1220.0,2.0,35.23,3,211
324,Sarjapur  Road,1210.0,2.0,58.0,2,177
325,Kanakpura Road,1100.0,2.0,58.0,3,115
326,Bommasandra,1200.0,3.0,46.0,3,44
327,others,1641.0,3.0,66.0,3,211
328,Horamavu Agara,1200.0,2.0,45.0,2,87
329,Raja Rajeshwari Nagar,1260.0,2.0,67.39,2,169
330,Mahadevpura,1720.0,3.0,78.0,3,143
331,Yelahanka,1692.5,2.0,48.13,2,207
332,Yelahanka,1210.0,2.0,45.98,2,207
333,Bisuvanahalli,1075.0,2.0,45.0,3,42
334,Raja Rajeshwari Nagar,1141.0,2.0,38.55,2,169
335,others,2072.0,3.0,108.0,3,211
336,JP Nagar,7720.0,2.0,375.0,5,97
337,Kodichikkanahalli,1190.0,2.0,57.0,3,126
338,Marathahalli,1019.0,2.0,49.85,2,146
339,Akshaya Nagar,1250.0,3.0,40.0,3,10
340,Whitefield,1140.0,2.0,56.0,2,205
341,Kaggadasapura,1515.0,3.0,83.3,3,106
342,Hoodi,2118.0,4.0,111.0,4,86
343,Bannerghatta Road,1380.0,3.0,58.0,4,32
344,others,2300.0,3.0,120.0,3,211
345,others,1240.0,2.0,60.0,2,211
346,others,1230.0,2.0,43.48,2,211
347,Abbigere,985.0,2.0,40.39,2,9
348,Electronic City,1125.0,2.0,32.49,2,65
349,others,950.0,2.0,44.0,2,211
350,Kothanur,1580.0,3.0,76.0,3,133
351,Kammasandra,810.0,2.0,24.5,2,113
352,others,1045.0,2.0,45.0,2,211
353,Begur Road,1500.0,2.0,54.0,3,36
354,Whitefield,1640.0,4.0,91.0,3,205
355,others,1570.0,3.0,62.0,3,211
356,Kengeri,1160.0,2.0,40.61,2,123
357,Hulimavu,1823.0,3.0,100.0,3,94
358,Electronic City,1094.0,2.0,42.0,2,65
359,Budigere,1153.0,2.0,57.0,2,47
360,others,1325.0,3.0,57.0,3,211
361,others,1202.0,2.0,48.0,2,211
362,Haralur Road,1202.0,2.0,53.0,2,79
363,others,1200.0,2.0,62.5,2,211
364,Kaval Byrasandra,1020.0,2.0,52.0,2,121
365,Sarjapur,1185.0,2.0,47.0,2,176
366,Ramagondanahalli,1235.0,2.0,52.04,2,171
367,Banashankari,1077.0,2.0,37.64,2,24
368,Kengeri Satellite Town,1415.0,2.0,66.0,3,124
369,Whitefield,805.0,2.0,35.0,2,205
370,others,425.0,1.0,20.03,1,211
371,Whitefield,1155.0,2.0,59.95,2,205
372,Anekal,656.0,2.0,22.0,2,15
373,others,1100.0,2.0,48.0,2,211
374,Mahadevpura,1150.0,2.0,52.0,2,143
375,Whitefield,2280.0,4.0,126.0,3,205
376,Electronic City Phase II,2225.0,4.0,98.88,4,66
377,Thanisandra,1185.0,2.0,43.51,2,191
378,others,1750.0,3.0,85.0,3,211
379,Kudlu,1152.0,2.0,53.5,2,134
380,5th Phase JP Nagar,1070.0,2.0,39.0,2,3
381,Uttarahalli,1101.0,2.0,45.0,2,197
382,Yeshwanthpur,667.0,1.0,36.85,1,210
383,Electronic City,1070.0,2.0,55.0,2,65
384,Marathahalli,1215.0,2.0,67.0,2,146
385,Vishwapriya Layout,820.0,2.0,30.0,2,203
386,Banashankari Stage VI,1757.5,2.0,59.935,2,28
387,Battarahalli,1779.0,3.0,89.61,3,34
388,others,1105.0,2.0,58.0,2,211
389,Whitefield,1650.0,3.0,60.0,3,205
390,Kammasandra,674.0,2.0,33.0,2,113
391,Kaggadasapura,1185.0,2.0,41.0,2,106
392,HSR Layout,1475.0,3.0,75.0,3,78
393,Gottigere,1618.0,3.0,82.5,3,72
394,Bannerghatta Road,1556.0,2.0,59.13,3,32
395,Kaggadasapura,1275.0,2.0,52.0,2,106
396,Kathriguppe,1400.0,2.0,77.0,3,120
397,Gottigere,1222.0,2.0,63.0,2,72
398,Electronic City,940.0,2.0,41.0,2,65
399,Thanisandra,1185.0,2.0,42.6,2,191
400,Begur Road,1615.0,3.0,59.76,3,36
401,7th Phase JP Nagar,1100.0,2.0,46.0,2,5
402,Arekere,920.0,2.0,40.0,2,18
403,others,1602.0,2.0,75.0,3,211
404,Padmanabhanagar,1176.0,2.0,62.0,2,163
405,Bhoganhalli,2119.0,4.0,111.0,4,39
406,Vittasandra,1246.0,2.0,67.3,2,204
407,Anandapura,1141.0,2.0,42.79,2,13
408,Yelahanka New Town,650.0,1.0,33.0,1,208
409,others,1566.0,3.0,83.3,3,211
410,Electronic City,1320.0,2.0,38.13,3,65
411,others,1780.0,3.0,84.83,3,211
412,Varthur,1091.0,2.0,34.9,2,198
413,7th Phase JP Nagar,918.0,2.0,50.49,2,5
414,Panathur,1695.0,3.0,90.0,3,165
415,Kalyan nagar,1375.0,3.0,75.0,3,110
416,Thanisandra,1114.0,2.0,39.0,2,191
417,others,1022.0,2.0,40.0,2,211
418,Hebbal,1000.0,2.0,45.0,2,81
419,Kanakpura Road,1180.0,2.0,57.0,2,115
420,Yelachenahalli,1400.0,2.0,55.0,3,206
421,7th Phase JP Nagar,1040.0,2.0,39.52,2,5
422,Kadugodi,1198.0,2.0,58.0,2,105
423,Bisuvanahalli,1075.0,3.0,36.0,3,42
424,8th Phase JP Nagar,1240.0,3.0,43.5,3,6
425,Bannerghatta Road,1680.0,2.0,58.935,2,32
426,Mallasandra,1665.0,3.0,86.58,3,144
427,Marathahalli,2489.0,3.0,94.0,3,146
428,Kothannur,1853.0,3.0,82.0,3,132
429,Electronics City Phase 1,1175.0,2.0,51.47,2,67
430,Subramanyapura,1200.0,2.0,52.0,2,187
431,Kodichikkanahalli,995.0,2.0,41.0,2,126
432,Magadi Road,884.0,2.0,41.1,2,142
433,Yeshwanthpur,1170.0,2.0,57.0,2,210
434,KR Puram,1225.0,2.0,46.55,2,103
435,Electronic City,1342.0,2.0,73.3,2,65
436,Uttarahalli,1345.0,2.0,67.0,2,197
437,Kodigehaali,1320.0,3.0,65.0,3,127
438,Raja Rajeshwari Nagar,1140.0,2.0,49.39,2,169
439,Battarahalli,1300.0,2.0,50.0,2,34
440,Hosa Road,1652.0,3.0,85.0,3,90
441,Arekere,1740.0,2.0,95.0,3,18
442,Electronic City,1360.0,2.0,71.0,3,65
443,Hosur Road,1145.0,2.0,60.0,3,93
444,Kanakpura Road,1100.0,3.0,58.0,3,115
445,Gunjur,1356.0,2.0,66.0,3,75
446,others,823.0,2.0,28.0,2,211
447,TC Palaya,1200.0,2.0,66.0,3,189
448,Ramamurthy Nagar,1050.0,2.0,37.0,2,172
449,7th Phase JP Nagar,1070.0,2.0,42.79,2,5
450,Magadi Road,1005.0,2.0,55.78,2,142
451,Kengeri Satellite Town,930.0,1.0,30.0,1,124
452,Mahadevpura,1250.0,2.0,52.0,2,143
453,Marathahalli,1170.0,2.0,53.0,2,146
454,Kambipura,1082.0,2.0,57.5,3,111
455,others,1001.0,2.0,33.03,2,211
456,Yelahanka,1590.0,2.0,54.0,3,207
457,others,2400.0,2.0,80.0,3,211
458,Horamavu Banaswadi,1554.0,3.0,55.0,3,88
459,Marathahalli,1019.0,2.0,49.86,2,146
460,Uttarahalli,1135.0,2.0,39.73,3,197
461,Kasavanhalli,1799.0,3.0,90.0,3,118
462,Whitefield,6151.5,2.0,304.0,4,205
463,NGR Layout,1020.0,2.0,45.9,2,152
464,Whitefield,1495.0,2.0,79.5,2,205
465,others,1611.0,2.0,64.44,3,211
466,Uttarahalli,1540.0,3.0,50.0,3,197
467,Hosa Road,1639.0,3.0,80.0,3,90
468,Raja Rajeshwari Nagar,1303.0,2.0,55.79,2,169
469,Brookefield,1440.0,2.0,68.0,3,46
470,Seegehalli,901.0,2.0,35.14,2,180
471,Sarjapur,900.0,2.0,42.0,3,176
472,others,1060.0,2.0,55.0,2,211
473,NGR Layout,1020.0,2.0,48.45,2,152
474,Varthur,1535.0,3.0,65.99,3,198
475,others,530.0,1.0,20.0,1,211
476,Sarjapur  Road,1115.0,2.0,50.0,2,177
477,Uttarahalli,1175.0,2.0,47.0,2,197
478,Marathahalli,1325.0,2.0,71.55,2,146
479,Electronics City Phase 1,950.0,2.0,31.0,2,67
480,Rachenahalli,1050.0,2.0,52.07,2,168
481,Thanisandra,1825.0,3.0,100.0,3,191
482,7th Phase JP Nagar,1190.0,2.0,49.98,2,5
483,Marathahalli,1220.0,2.0,56.5,2,146
484,NRI Layout,1565.0,2.0,75.0,3,153
485,others,900.0,2.0,27.0,2,211
486,Hosa Road,1161.0,2.0,55.15,2,90
487,Yeshwanthpur,665.0,1.0,36.85,1,210
488,others,1200.0,3.0,56.12,3,211
489,Somasundara Palya,1255.0,2.0,67.0,2,184
490,Raja Rajeshwari Nagar,600.0,1.0,22.0,1,169
491,Haralur Road,1810.0,3.0,100.0,3,79
492,Harlur,1033.0,2.0,49.0,2,80
493,Horamavu Banaswadi,1611.0,3.0,66.0,3,88
494,Electronic City Phase II,1400.0,2.0,40.43,3,66
495,Vidyaranyapura,1485.0,2.0,67.0,3,200
496,Margondanahalli,2400.0,2.0,82.0,2,147
497,others,1025.0,2.0,44.5,2,211
498,others,1225.0,2.0,53.0,2,211
499,5th Phase JP Nagar,1256.0,2.0,62.8,2,3
500,Kanakpura Road,1100.0,3.0,53.0,3,115
501,others,1141.0,2.0,62.0,2,211
502,Attibele,400.0,1.0,12.0,1,19
503,Chandapura,1400.0,2.0,60.0,2,49
504,others,1175.0,2.0,48.27,2,211
505,Sahakara Nagar,1100.0,2.0,56.0,2,174
506,Kanakpura Road,1843.0,3.0,95.84,3,115
507,Horamavu Banaswadi,1460.0,2.0,80.5,2,88
508,Rachenahalli,1530.0,2.0,74.5,3,168
509,HSR Layout,1467.0,2.0,55.0,2,78
510,others,950.0,1.0,40.0,1,211
511,Vittasandra,1246.0,2.0,64.5,2,204
512,Kanakapura,711.0,1.0,38.0,1,114
513,Haralur Road,1194.0,2.0,46.0,2,79
514,Babusapalaya,1358.0,2.0,43.4,3,22
515,Hoodi,1420.0,2.0,75.0,2,86
516,Kathriguppe,1250.0,2.0,68.75,3,120
517,Akshaya Nagar,1280.0,2.0,58.0,2,10
518,others,1209.0,2.0,50.0,2,211
519,others,4200.0,5.0,225.0,5,211
520,Panathur,1315.0,2.0,54.8,3,165
521,others,1800.0,3.0,90.0,3,211
522,TC Palaya,1600.0,2.0,65.0,3,189
523,others,1563.0,3.0,52.0,3,211
524,Whitefield,1560.0,2.0,72.0,3,205
525,Brookefield,2169.0,4.0,115.0,3,46
526,Rachenahalli,1050.0,2.0,55.5,2,168
527,TC Palaya,1200.0,3.0,66.0,3,189
528,HSR Layout,1140.0,2.0,46.0,2,78
529,Horamavu Agara,1560.0,3.0,75.0,3,87
530,Kasavanhalli,1260.0,2.0,40.32,3,118
531,Hebbal,1036.0,2.0,50.0,2,81
532,Akshaya Nagar,1662.0,3.0,85.1,3,10
533,Sarjapur  Road,1403.0,3.0,55.0,3,177
534,Seegehalli,1150.0,2.0,42.9,3,180
535,Kanakapura,929.0,2.0,46.0,2,114
536,TC Palaya,1350.0,2.0,75.0,3,189
537,others,1135.0,2.0,39.73,2,211
538,others,1405.0,2.0,70.0,2,211
539,Whitefield,1200.0,2.0,45.84,2,205
540,Haralur Road,2805.0,4.0,154.0,4,79
541,Yeshwanthpur,1161.0,2.0,64.08,2,210
542,Yeshwanthpur,2557.0,3.0,141.0,3,210
